symbol_nse,symbol_bse,company_name,isin,nse_series,bse_scrip_code,status
,ABSLBANETF,Aditya Birla Sun Life Mutual Fund,INF209KB17D5,,542863,active
,ABSLNN50ET,Aditya Birla Sun Life Mutual Fund,INF209KB16D7,,542230,active
,ABSLPSE,Aditya Birla Sun Life Mutual Fund,INF209KB19Z4,,544218,active
,ABSLRIF5DD,Aditya Birla Sun Life Mutual Fund,INF209KB1JC7,,540742,suspended
,ABSLRIF5DG,Aditya Birla Sun Life Mutual Fund,INF209KB1JB9,,540741,suspended
,ABSLRIF5RD,Aditya Birla Sun Life Mutual Fund,INF209KB1JA1,,540740,suspended
,ABSLRIF5RG,Aditya Birla Sun Life Mutual Fund,INF209KB1IZ0,,540739,suspended
,ABSLRIF6DD,Aditya Birla Sun Life Mutual Fund,INF209KB1LO8,,541095,suspended
,ABSLRIF6DG,Aditya Birla Sun Life Mutual Fund,INF209KB1LN0,,541094,suspended
,ABSLRIF6RD,Aditya Birla Sun Life Mutual Fund,INF209KB1LM2,,541093,suspended
,ABSLRIF6RG,Aditya Birla Sun Life Mutual Fund,INF209KB1LL4,,541092,suspended
,ABSLRIF7DD,Aditya Birla Sun Life Mutual Fund,INF209KB1NS5,,541255,suspended
,ABSLRIF7DG,Aditya Birla Sun Life Mutual Fund,INF209KB1NR7,,541254,suspended
,ABSLRIF7RD,Aditya Birla Sun Life Mutual Fund,INF209KB1NQ9,,541253,suspended
,ABSLRIF7RG,Aditya Birla Sun Life Mutual Fund,INF209KB1NP1,,541252,suspended
,ABVL,Arunjyoti Bio Ventures Limited,INE485K01022,,530881,active
,ABVL-RE,Arunjyoti Bio Ventures Limited,INE485K20014,,750838,suspended
ACC,ACC,ACC Ltd,INE012A01025,EQ,500410,active
,ACCEDERE,ACCEDERE LIMITED,INE578B01015,,531533,active
,ACCEL,ACCEL LIMITED,INE258C01038,,517494,active
,ACCELERATE,ACCELERATEBS INDIA LIMITED,INE0POP01017,,543938,active
ACCELYA,ACCELYABBPH,ACCELYA SOLUTIONS INDIA LIMITED,INE793A01012,EQ,534015,delisted
,ACCENTECH,Accentia Technologies Ltd.,INE122B01012,,531897,delisted
,ACCLAIM,Acclaim Industries Limited,INE051E01017,,526347,delisted
,ACCUEXPO,Accurate Exports Ltd.,INE062B01010,,531905,delisted
ACCURACY,ACCURACY,Accuracy Shipping Limited,INE648Z01023,EQ,544598,active
,ACCURATE,Accurate Transformers Ltd.,INE243C01014,,530513,delisted
ACE,ACE,Action Construction Equipments Ltd.,INE731H01025,EQ,532762,active
,ACEALPHA,Ace Alpha Tech Limited,INE0S9X01011,,544431,active
,ACEEDU,ACE EDUTREND LIMITED,INE715F01014,,530093,suspended
,ACEENGITEC,ACE ENGITECH LIMITED,INE035401020,,530669,suspended
,ACEMEN,ACE MEN ENGG WORKS LIMITED,INE023R01018,,539661,active
,ACES-RE,Ace Software Exports ltd.,INE849B20010,,750936,suspended
,ACES-RE1,Ace Software Exports ltd.,INE849B20028,,751061,suspended
,ACESOFT,Ace Software Exports ltd.,INE849B01010,,531525,active
,ACEWIN,ACEWIN AGRITECK LIMITED,INE742R01013,,539570,delisted
,ACFL,APEX CAPITAL AND FINANCE LIMITED,INE758W01019,,541133,active
,ACFSL,Amrapali Capital and Finance Services Limited,INE218P01018,,536737,active
,ACGL,Automobile Corpn. of Goa Ltd.,INE451C01013,,505036,active
,ACHAL,Achal Investments Limited,INE860P01025,,538570,suspended
,ACHYUT,Achyut Healthcare Limited,INE0K1401020,,543499,active
ACI,ACI,Archean Chemical Industries Limited,INE128X01021,EQ,543657,active
,ACIASIA,Allied Computers International (Asia) Limited,INE335I01056,,532919,delisted
,ACIIN,ACI Infocom Ltd.,INE167B01025,,517356,active
,ACIL,ACIL Cotton Industries Limited,INE066C01035,,530901,delisted
,ACKNIT,Acknit Industries Ltd,INE326C01017,,530043,active
ACL,ACL,Andhra Cement Ltd.,INE666E01020,EQ,532141,active
,ACLD,AELEA COMMODITIES LIMITED,INE0T3401029,,544213,active
